City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nerja,36.7585,-3.8873,15.13,81,30,1.34,ES,1673929571
84,tyazhinskiy,56.116,88.524,-9.58,94,100,7.62,RU,1673929572
85,beirut,33.8889,35.4944,12.41,67,40,2.06,LB,1673929574
86,qaanaaq,77.484,-69.3632,-25.19,64,82,2.24,GL,1673929575
87,svetlogorsk,52.6333,29.7333,1.44,98,100,7.1,BY,1673929576
88,rorvik,64.8621,11.2373,0.06,80,78,3.6,NO,1673929578
89,yellowknife,62.456,-114.3525,-13.71,85,100,5.14,CA,1673929579
90,hualmay,-11.0964,-77.6139,21.25,77,98,3.29,PE,1673929581
91,lebane,42.9239,21.7375,10.33,86,100,3.21,RS,1673929582
92,ahipara,-35.1667,173.1667,20.58,66,34,3.52,NZ,1673929583
93,ilabaya,-17.4208,-70.5133,17.81,80,68,0.87,PE,1673929585
94,cockburn town,21.4612,-71.1419,23.26,55,3,4.57,TC,1673929307
95,port hawkesbury,45.6169,-61.3485,9.98,100,100,5.36,CA,1673929587
96,guerrero negro,27.9769,-114.0611,17.96,77,100,4.32,MX,1673929590
97,faanui,-16.4833,-151.75,27.3,61,84,5.89,PF,1673929591
98,saskylakh,71.9167,114.0833,-31.54,99,58,2.92,RU,1673929592
99,nokaneng,-19.6667,22.2667,19.72,87,94,2.43,BW,1673929594
100,puerto ayora,-0.7393,-90.3518,24.19,95,41,2.6,EC,1673929595
101,talcahuano,-36.7167,-73.1167,12.82,71,0,4.63,CL,1673929596
102,diu,20.7141,70.9822,19.05,27,11,3.38,IN,1673929597
103,gualaco,15.05,-86.05,14.71,85,13,0.73,HN,1673929599
104,chuy,-33.6971,-53.4616,18.86,85,0,3.03,UY,1673929600
105,aklavik,68.2191,-135.0107,-30.13,100,87,0.96,CA,1673929601
106,hilton head island,32.2163,-80.7526,11.1,76,0,0.0,US,1673929602
107,enid,36.3956,-97.8784,4.09,75,0,1.54,US,1673929604
108,chokurdakh,70.6333,147.9167,-30.18,93,95,5.31,RU,1673929605
109,staunton,38.1496,-79.0717,6.82,53,0,1.54,US,1673929567
110,grand gaube,-20.0064,57.6608,27.99,64,26,5.36,MU,1673929607
111,coquimbo,-29.9533,-71.3436,15.85,88,0,2.06,CL,1673929608
112,monrovia,6.3005,-10.7969,25.37,85,49,1.84,LR,1673929610
113,pangnirtung,66.1451,-65.7125,-35.56,76,5,2.29,CA,1673929611
