City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,portland,45.5234,-122.6762,5.61,89,100,2.06,US,1674555927
84,jalu,29.0331,21.5482,19.46,30,0,5.29,LY,1674556499
85,fremont,37.5483,-121.9886,11.57,65,0,2.57,US,1674556263
86,rong kwang,18.339,100.3174,30.71,38,0,2.33,TH,1674556502
87,vila velha,-20.3297,-40.2925,22.97,98,75,1.54,BR,1674556503
88,khatanga,71.9667,102.5,-38.94,96,80,2.86,RU,1674556505
89,sao joao da barra,-21.6403,-41.0511,25.05,90,100,2.87,BR,1674556506
90,nara,34.6851,135.8049,-0.02,61,71,8.8,JP,1674556507
91,ghanzi,-21.5667,21.7833,31.22,32,42,3.23,BW,1674556509
92,nuuk,64.1835,-51.7216,-1.66,93,100,13.38,GL,1674556510
93,skjervoy,70.0311,20.9714,1.0,77,100,19.25,NO,1674556511
94,chongwe,-15.3292,28.682,24.16,72,86,4.74,ZM,1674556514
95,isangel,-19.55,169.2667,27.09,86,99,2.54,VU,1674556515
96,cape town,-33.9258,18.4232,21.32,47,75,6.69,ZA,1674556058
97,tubuala,9.5167,-79.0333,26.3,86,81,5.62,PA,1674556518
98,bereda,43.2686,-7.5406,5.64,96,70,3.15,ES,1674556519
99,vila franca do campo,37.7167,-25.4333,15.23,83,69,5.65,PT,1674556521
100,ancud,-41.8697,-73.8203,11.8,79,20,2.04,CL,1674556344
101,fort nelson,58.8053,-122.7002,-8.23,86,100,2.57,CA,1674556523
102,inuvik,68.3499,-133.7218,-21.52,77,100,1.03,CA,1674556525
103,lompoc,34.6391,-120.4579,10.51,80,0,3.09,US,1674556376
104,riyadh,24.6877,46.7219,18.08,48,57,5.11,SA,1674556392
105,vanimo,-2.6741,141.3028,24.19,94,100,0.96,PG,1674556529
106,acapulco,16.8634,-99.8901,20.9,78,0,1.03,MX,1674556397
107,rawson,-43.3002,-65.1023,21.16,49,0,12.35,AR,1674556533
108,otradnoye,59.7775,30.8181,-1.97,89,100,5.12,RU,1674556534
109,broken hill,-31.95,141.4333,26.57,36,55,10.14,AU,1674556348
110,arraial do cabo,-22.9661,-42.0278,23.98,94,75,2.57,BR,1674556450
111,mianwali,32.5741,71.5264,17.12,35,4,4.89,PK,1674556538
112,isiolo,0.3546,37.5822,27.79,42,100,4.43,KE,1674556540
113,ouro preto do oeste,-10.7481,-62.2158,21.97,98,100,1.5,BR,1674556541
114,athenry,53.2964,-8.7431,8.82,93,100,2.42,IE,1674556543
115,khandyga,62.6667,135.6,-49.3,100,52,1.08,RU,1674556544
116,saskylakh,71.9167,114.0833,-23.17,99,100,1.63,RU,1674556545
117,hermanus,-34.4187,19.2345,19.33,63,90,8.54,ZA,1674556547
118,talnakh,69.4865,88.3972,-30.61,94,56,3.89,RU,1674556548
